SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
1,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,01-01-2000 06:00,0.595
2,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,22-01-2000 12:00,0.595
3,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,30-01-2000 04:00,67.315
4,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,09-02-2000 14:00,67.12
5,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,11-02-2000 04:00,67.307
6,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,11-02-2000 05:00,67.309
7,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,12-02-2000 04:00,67.294
8,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,12-02-2000 05:00,67.292
9,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,16-02-2000 03:00,67.12
10,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,16-02-2000 04:00,67.12
11,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,16-02-2000 05:00,67.229
12,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,18-02-2000 04:00,67.167
13,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,27-02-2000 04:00,67.22
14,Arwal Sahar Bridge,Bihar,10,Bihar,193,BHOJPUR,-,-,-,-,-,-,-,-,-,25.25138889,84.63777778,No,0,0,27-02-2000 05:00,67.217
15,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,30-11-1999 00:00,0
16,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,02-01-2000 04:00,12
17,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,02-01-2000 05:00,12.1
18,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,02-01-2000 22:00,12
19,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,02-01-2000 23:00,12
20,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,03-01-2000 14:00,12.1
21,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,03-01-2000 21:00,12.8
22,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,03-01-2000 22:00,12.8
23,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,04-01-2000 16:00,12.7
24,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,04-01-2000 17:00,12.7
25,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,04-01-2000 21:00,12.7
26,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,04-01-2000 22:00,12.7
27,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,05-01-2000 06:00,11.5
28,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,05-01-2000 21:00,12.8
29,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,05-01-2000 22:00,12.8
30,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,06-01-2000 04:00,12.2
31,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,06-01-2000 05:00,12.2
32,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,06-01-2000 20:00,12.6
33,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,06-01-2000 21:00,12.7
34,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,06-01-2000 22:00,12.7
35,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,07-01-2000 01:00,12
36,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,07-01-2000 02:00,12
37,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,07-01-2000 04:00,12.2
38,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,07-01-2000 05:00,12.2
39,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,07-01-2000 21:00,12.8
40,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,07-01-2000 22:00,12.8
41,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,08-01-2000 04:00,12.2
42,Baisi_1,Bihar,10,Bihar,214,PURNIA,-,-,-,-,-,-,-,-,-,25.86277778,87.73888889,No,0,0,08-01-2000 05:00,12.2
